"PA005: KESKMINE BRUTOPALK, TÖÖJÕUKULU JA TÖÖTATUD TUNNID | Näitaja, Omaniku liik ning Vaatlusperiood"

"Näitaja","Omaniku liik","2018","2018 I kvartal","2018 II kvartal","2018 III kvartal","2018 IV kvartal","2019","2019 I kvartal","2019 II kvartal","2019 III kvartal","2019 IV kvartal","2020","2020 I kvartal","2020 II kvartal","2020 III kvartal","2020 IV kvartal","2021","2021 I kvartal","2021 II kvartal","2021 III kvartal","2021 IV kvartal"
"Keskmine brutokuupalk, eurot","Kokku",1310,1242,1321,1291,1384,1407,1341,1419,1397,1472,1448,1404,1433,1441,1515,1548,1473,1538,1553,1625
"Keskmine brutokuupalk, eurot","Riik",1622,1537,1634,1562,1755,1781,1705,1817,1723,1877,1857,1814,1858,1810,1946,1964,1877,1978,1913,2089
"Keskmine brutokuupalk, eurot","Kohalik omavalitsus",1157,1066,1175,1111,1274,1263,1169,1283,1221,1376,1299,1222,1309,1264,1403,1366,1279,1373,1324,1489
"Keskmine brutokuupalk, eurot","Eesti eraõiguslik isik",1171,1110,1169,1171,1237,1252,1191,1251,1259,1306,1262,1230,1224,1278,1320,1366,1293,1339,1396,1435
"Keskmine brutokuupalk, eurot","Välismaa eraõiguslik isik",1561,1510,1604,1533,1595,1659,1601,1685,1650,1697,1745,1715,1754,1731,1779,1890,1831,1903,1901,1926
"Keskmine brutokuupalk, standardviga, eurot","Kokku",11,8,11,8,9,9,8,8,8,9,7,6,6,6,7,10,9,9,10,10
"Keskmine brutokuupalk, standardviga, eurot","Riik",4,3,3,3,4,3,2,2,2,3,5,4,4,4,5,23,11,12,23,14
"Keskmine brutokuupalk, standardviga, eurot","Kohalik omavalitsus",4,4,3,4,4,4,2,4,3,4,11,8,9,7,11,14,8,10,9,14
"Keskmine brutokuupalk, standardviga, eurot","Eesti eraõiguslik isik",13,12,12,12,13,14,13,13,11,14,11,10,10,10,11,15,13,13,15,15
"Keskmine brutokuupalk, standardviga, eurot","Välismaa eraõiguslik isik",40,18,40,19,23,19,17,18,17,19,15,13,12,13,15,24,22,18,21,24
"Keskmine brutokuupalk, suhteline standardviga, %","Kokku",0.9,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.5,0.7,0.6,0.6,0.6,0.6
"Keskmine brutokuupalk, suhteline standardviga, %","Riik",0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,1.2,0.6,0.6,1.2,0.7
"Keskmine brutokuupalk, suhteline standardviga, %","Kohalik omavalitsus",0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.8,0.6,0.7,0.5,0.8,1.0,0.6,0.8,0.7,0.9
"Keskmine brutokuupalk, suhteline standardviga, %","Eesti eraõiguslik isik",1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.0,0.9,1.0,0.9,0.8,0.8,0.8,0.8,1.1,1.0,1.0,1.0,1.0
"Keskmine brutokuupalk, suhteline standardviga, %","Välismaa eraõiguslik isik",2.6,1.2,2.5,1.2,1.4,1.1,1.1,1.1,1.1,1.1,0.9,0.7,0.7,0.8,0.9,1.3,1.2,1.0,1.1,1.2
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Kokku",..,7.7,6.4,7.5,8.9,..,7.9,7.4,8.2,6.3,..,4.8,1.0,3.2,2.9,..,4.9,7.3,7.8,7.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Riik",..,9.0,6.7,11.9,9.2,..,10.9,11.2,10.3,7.0,..,6.4,2.3,5.0,3.7,..,3.5,6.4,5.7,7.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Kohalik omavalitsus",..,12.3,6.7,20.2,12.1,..,9.6,9.2,9.9,8.0,..,4.5,2.0,3.5,1.9,..,4.7,4.9,4.8,6.1
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Eesti eraõiguslik isik",..,7.8,6.3,5.5,8.1,..,7.3,7.1,7.5,5.6,..,3.2,-2.1,1.5,1.1,..,5.1,9.3,9.3,8.7
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Välismaa eraõiguslik isik",..,6.1,6.5,5.2,9.4,..,6.0,5.0,7.6,6.3,..,7.1,4.1,4.9,4.9,..,6.7,8.5,9.8,8.2
"Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %","Kokku",7.3,-2.3,6.4,-2.3,7.2,7.4,-3.2,5.9,-1.6,5.4,2.9,-4.6,2.1,0.5,5.1,6.9,-2.8,4.4,1.0,4.7
"Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %","Riik",9.2,-4.3,6.3,-4.4,12.3,9.8,-2.8,6.6,-5.2,8.9,4.3,-3.4,2.5,-2.6,7.5,5.8,-3.6,5.4,-3.3,9.2
"Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %","Kohalik omavalitsus",12.6,-6.2,10.3,-5.5,14.7,9.1,-8.3,9.8,-4.9,12.7,2.9,-11.2,7.1,-3.4,11.0,5.2,-8.8,7.3,-3.5,12.5
"Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %","Eesti eraõiguslik isik",6.4,-3.0,5.3,0.2,5.7,6.9,-3.7,5.0,0.6,3.8,0.8,-5.9,-0.4,4.4,3.3,8.2,-2.1,3.5,4.3,2.8
"Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %","Välismaa eraõiguslik isik",7.2,3.6,6.3,-4.4,4.0,6.2,0.4,5.3,-2.1,2.8,5.2,1.1,2.2,-1.3,2.8,8.3,2.9,3.9,-0.1,1.3
