"PA001: KESKMINE BRUTOPALK, TÖÖJÕUKULU, TÖÖTATUD TUNNID JA TÖÖTAJATE ARV | Näitaja, Tegevusala ning Vaatlusperiood"

"Näitaja","Tegevusala","2018","2018 I kvartal","2018 II kvartal","2018 III kvartal","2018 IV kvartal","2019","2019 I kvartal","2019 II kvartal","2019 III kvartal","2019 IV kvartal","2020","2020 I kvartal","2020 II kvartal","2020 III kvartal","2020 IV kvartal","2021","2021 I kvartal","2021 II kvartal","2021 III kvartal","2021 IV kvartal"
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad",1310,1242,1321,1291,1384,1407,1341,1419,1397,1472,1448,1404,1433,1441,1515,1548,1473,1538,1553,1625
"Keskmine brutokuupalk, eurot","Põllumajandus, metsamajandus ja kalapüük",1163,1133,1151,1167,1201,1141,1121,1104,1173,1170,1202,1159,1154,1222,1279,1294,1270,1288,1263,1354
"Keskmine brutokuupalk, eurot","Mäetööstus",1606,1547,1615,1594,1670,1638,1667,1658,1546,1684,1697,1699,1588,1677,1847,1840,1732,1869,1847,1908
"Keskmine brutokuupalk, eurot","Töötlev tööstus",1249,1189,1266,1234,1307,1339,1277,1354,1345,1383,1363,1342,1336,1373,1404,1440,1377,1430,1462,1491
"Keskmine brutokuupalk, eurot","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",1857,2101,1823,1719,1790,1996,2264,1913,1858,1945,2118,2338,2118,1977,2035,2128,2295,2124,2007,2084
"Keskmine brutokuupalk, eurot","Veevarustus; kanalisatsioon; jäätme- ja saastekäitlus",1338,1288,1328,1350,1388,1368,1304,1357,1341,1472,1433,1423,1407,1416,1486,1511,1472,1497,1513,1560
"Keskmine brutokuupalk, eurot","Ehitus",1248,1146,1250,1273,1321,1356,1270,1377,1340,1433,1365,1346,1336,1346,1437,1474,1417,1446,1501,1526
"Keskmine brutokuupalk, eurot","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont",1224,1150,1257,1209,1283,1315,1266,1311,1317,1365,1187,1156,1155,1200,1239,1315,1231,1295,1338,1396
"Keskmine brutokuupalk, eurot","Veondus ja laondus",1241,1201,1253,1248,1262,1346,1309,1384,1337,1354,1387,1359,1359,1408,1424,1452,1395,1451,1466,1494
"Keskmine brutokuupalk, eurot","Majutus ja toitlustus",854,809,850,858,900,905,858,903,932,923,860,866,818,892,866,916,847,884,976,953
"Keskmine brutokuupalk, eurot","Info ja side",2172,2067,2169,2181,2270,2342,2195,2390,2360,2422,2574,2537,2564,2545,2646,2804,2629,2761,2878,2945
"Keskmine brutokuupalk, eurot","Finants- ja kindlustustegevus",2154,2196,2192,2066,2167,2321,2411,2296,2257,2320,2461,2529,2499,2389,2427,2568,2582,2545,2539,2605
"Keskmine brutokuupalk, eurot","Kinnisvaraalane tegevus",1050,1022,1076,1004,1103,1042,1012,1032,1048,1077,1050,1075,994,1057,1071,1132,1119,1124,1133,1153
"Keskmine brutokuupalk, eurot","Kutse-, teadus- ja tehnikaalane tegevus",1529,1466,1521,1554,1582,1552,1458,1562,1573,1614,1676,1648,1644,1679,1734,1791,1782,1737,1814,1830
"Keskmine brutokuupalk, eurot","Haldus- ja abitegevused",1132,1082,1119,1131,1192,1211,1138,1219,1204,1286,1212,1186,1215,1206,1245,1319,1254,1332,1331,1357
"Keskmine brutokuupalk, eurot","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus",1622,1517,1586,1579,1805,1781,1658,1799,1752,1913,1835,1783,1816,1809,1933,1904,1810,1878,1868,2061
"Keskmine brutokuupalk, eurot","Haridus",1221,1131,1261,1132,1357,1333,1246,1378,1257,1446,1397,1324,1426,1328,1504,1432,1346,1470,1363,1545
"Keskmine brutokuupalk, eurot","Tervishoid ja sotsiaalhoolekanne",1357,1237,1385,1366,1440,1495,1361,1533,1502,1583,1532,1394,1554,1539,1641,1732,1583,1758,1710,1877
"Keskmine brutokuupalk, eurot","Kunst, meelelahutus ja vaba aeg",1111,1075,1139,1040,1196,1155,1102,1161,1119,1236,1129,1102,1103,1135,1178,1247,1165,1208,1293,1315
"Keskmine brutokuupalk, eurot","Muud teenindavad tegevused",937,885,917,936,1010,1070,1008,1070,1080,1124,1133,1089,1103,1123,1225,1245,1176,1245,1260,1301
"Keskmine brutokuupalk, standardviga, eurot","Kokku – kõik tegevusalad",11,8,11,8,9,9,8,8,8,9,7,6,6,6,7,10,9,9,10,10
"Keskmine brutokuupalk, standardviga, eurot","Põllumajandus, metsamajandus ja kalapüük",58,58,50,47,48,38,37,29,38,29,59,33,27,45,59,89,48,61,45,89
"Keskmine brutokuupalk, standardviga, eurot","Mäetööstus",14,7,7,10,14,8,5,6,7,8,14,11,4,7,14,18,13,18,16,16
"Keskmine brutokuupalk, standardviga, eurot","Töötlev tööstus",14,12,13,12,14,17,16,17,15,16,11,10,9,12,11,20,20,14,13,14
"Keskmine brutokuupalk, standardviga, eurot","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",13,13,10,8,8,6,6,5,5,6,6,12,5,5,6,15,15,10,6,11
"Keskmine brutokuupalk, standardviga, eurot","Veevarustus; kanalisatsioon; jäätme- ja saastekäitlus",24,17,20,24,20,18,12,12,12,18,12,10,9,11,12,15,14,15,13,15
"Keskmine brutokuupalk, standardviga, eurot","Ehitus",39,33,39,38,36,63,43,53,44,63,43,35,31,39,43,47,46,47,46,46
"Keskmine brutokuupalk, standardviga, eurot","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont",60,27,60,31,36,34,34,26,27,30,18,15,14,17,18,26,22,19,25,26
"Keskmine brutokuupalk, standardviga, eurot","Veondus ja laondus",24,24,23,22,23,30,28,30,26,26,23,19,18,22,23,55,38,41,55,42
