Keskmine brutokuupalk,2018,2019,2020,2021
Harju maakond,1455,1531,1588,1694
Hiiu maakond,944,993,1063,1194
Ida-Viru maakond,1054,1147,1161,1202
Jõgeva maakond,1027,1066,1145,1241
Järva maakond,1088,1192,1282,1340
Lääne maakond,1134,1274,1155,1308
Lääne-Viru maakond,1021,1095,1181,1256
Põlva maakond,1003,1140,1229,1207
Pärnu maakond,1055,1172,1147,1280
Rapla maakond,1150,1200,1199,1277
Saare maakond,987,1082,1148,1247
Tartu maakond,1289,1426,1447,1550
Valga maakond,995,1058,1106,1205
Viljandi maakond,1100,1201,1188,1285
Võru maakond,1028,1113,1169,1192
