"PA5335: SOOLINE PALGALÕHE TEGEVUSALA (EMTAK 2008) JÄRGI, OKTOOBER | Aasta, Tegevusala (EMTAK 2008) ning Näitaja"

"Aasta","Tegevusala (EMTAK 2008)","Meestöötajate keskmine brutotunnipalk, eurot","Naistöötajate keskmine brutotunnipalk, eurot","Palgalõhe, %"
"2018","Tegevusalad kokku",7.9,6.5,18.0
"2018","Põllumajandus, metsamajandus ja kalapüük",6.5,5.3,18.5
"2018","Mäetööstus",9.3,6.6,28.9
"2018","Töötlev tööstus",8.0,5.8,26.9
"2018","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",9.5,8.4,12.3
"2018","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus",7.1,6.7,5.0
"2018","Ehitus",6.8,6.1,11.1
"2018","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont",7.8,5.6,28.6
"2018","Veondus ja laondus",6.9,6.8,1.3
"2018","Majutus ja toitlustus",5.8,4.9,15.8
"2018","Info ja side",12.5,9.6,23.4
"2018","Finants- ja kindlustustegevus",14.7,9.8,33.2
"2018","Kinnisvaraalane tegevus",5.9,5.0,15.0
"2018","Kutse-, teadus- ja tehnikaalane tegevus",9.0,7.6,15.7
"2018","Haldus- ja abitegevused",6.6,5.9,11.3
"2018","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus",8.8,8.1,7.5
"2018","Haridus",8.0,6.7,16.7
"2018","Tervishoid ja sotsiaalhoolekanne",10.2,7.3,28.7
"2018","Kunst, meelelahutus ja vaba aeg",6.7,5.3,21.0
"2018","Muud teenindavad tegevused",5.9,5.1,13.0
"2019","Tegevusalad kokku",8.6,7.1,17.1
"2019","Põllumajandus, metsamajandus ja kalapüük",6.8,5.7,15.8
"2019","Mäetööstus",9.7,7.1,26.5
"2019","Töötlev tööstus",8.6,6.5,24.3
"2019","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",10.6,8.9,16.0
"2019","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus",7.8,7.1,8.9
"2019","Ehitus",7.8,6.5,15.7
"2019","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont",8.6,6.2,28.7
"2019","Veondus ja laondus",7.2,7.5,-4.7
"2019","Majutus ja toitlustus",5.8,5.1,11.5
"2019","Info ja side",13.9,10.6,23.9
"2019","Finants- ja kindlustustegevus",15.0,10.9,27.1
"2019","Kinnisvaraalane tegevus",6.5,5.1,20.8
"2019","Kutse-, teadus- ja tehnikaalane tegevus",9.0,8.3,8.1
"2019","Haldus- ja abitegevused",7.3,6.2,15.5
"2019","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus",9.5,8.7,8.2
"2019","Haridus",8.7,7.2,17.0
"2019","Tervishoid ja sotsiaalhoolekanne",10.4,8.0,23.1
"2019","Kunst, meelelahutus ja vaba aeg",7.1,6.1,15.2
"2019","Muud teenindavad tegevused",7.1,5.8,18.8
"2020","Tegevusalad kokku",9.1,7.7,15.6
"2020","Põllumajandus, metsamajandus ja kalapüük",7.4,6.9,7.2
"2020","Mäetööstus",10.2,7.6,26.1
"2020","Töötlev tööstus",8.8,6.9,21.6
"2020","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine",11.5,10.2,11.0
"2020","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus",8.4,7.9,5.4
"2020","Ehitus",8.0,7.8,3.0
"2020","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont",8.0,6.2,23.0
"2020","Veondus ja laondus",7.8,8.3,-6.2
"2020","Majutus ja toitlustus",6.0,5.0,15.9
"2020","Info ja side",15.6,11.8,24.1
"2020","Finants- ja kindlustustegevus",16.7,11.8,29.4
"2020","Kinnisvaraalane tegevus",7.2,5.9,17.5
"2020","Kutse-, teadus- ja tehnikaalane tegevus",10.3,9.0,12.1
"2020","Haldus- ja abitegevused",7.5,6.2,18.2
"2020","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus",10.6,10.0,5.2
"2020","Haridus",9.6,8.0,16.7
"2020","Tervishoid ja sotsiaalhoolekanne",11.0,8.3,24.0
"2020","Kunst, meelelahutus ja vaba aeg",7.1,6.2,12.6
"2020","Muud teenindavad tegevused",7.8,6.5,17.1
